Station.No	Location	Date	Hour	API	Pollutant
41	Banting	2013-08-01	1	66	*
41	Banting	2013-08-01	2	67	*
41	Banting	2013-08-01	3	67	*
41	Banting	2013-08-01	4	67	*
41	Banting	2013-08-01	5	67	*
41	Banting	2013-08-01	6	67	*
41	Banting	2013-08-01	7	66	*
41	Banting	2013-08-01	8	66	*
41	Banting	2013-08-01	9	66	*
41	Banting	2013-08-01	10	66	*
41	Banting	2013-08-01	11	67	*
41	Banting	2013-08-01	12	68	*
41	Banting	2013-08-01	13	67	*
41	Banting	2013-08-01	14	67	*
41	Banting	2013-08-01	15	67	*
41	Banting	2013-08-01	16	66	*
41	Banting	2013-08-01	17	65	*
41	Banting	2013-08-01	18	65	*
41	Banting	2013-08-01	19	65	*
41	Banting	2013-08-01	20	65	*
41	Banting	2013-08-01	21	65	*
41	Banting	2013-08-01	22	65	*
41	Banting	2013-08-01	23	65	*
41	Banting	2013-08-01	24	65	*
41	Banting	2013-08-02	1	64	*
41	Banting	2013-08-02	2	63	*
41	Banting	2013-08-02	3	63	*
41	Banting	2013-08-02	4	62	*
41	Banting	2013-08-02	5	62	*
41	Banting	2013-08-02	6	62	*
41	Banting	2013-08-02	7	63	*
41	Banting	2013-08-02	8	63	*
41	Banting	2013-08-02	9	63	*
41	Banting	2013-08-02	10	63	*
41	Banting	2013-08-02	11	63	*
41	Banting	2013-08-02	12	63	*
41	Banting	2013-08-02	13	62	*
41	Banting	2013-08-02	14	62	*
41	Banting	2013-08-02	15	62	*
41	Banting	2013-08-02	16	62	*
41	Banting	2013-08-02	17	62	*
41	Banting	2013-08-02	18	62	*
41	Banting	2013-08-02	19	63	*
41	Banting	2013-08-02	20	63	*
41	Banting	2013-08-02	21	63	*
41	Banting	2013-08-02	22	64	*
41	Banting	2013-08-02	23	64	*
41	Banting	2013-08-02	24	64	*
41	Banting	2013-08-03	1	63	*
41	Banting	2013-08-03	2	63	*
41	Banting	2013-08-03	3	63	*
41	Banting	2013-08-03	4	62	*
41	Banting	2013-08-03	5	61	*
41	Banting	2013-08-03	6	59	*
41	Banting	2013-08-03	7	59	*
41	Banting	2013-08-03	8	58	*
41	Banting	2013-08-03	9	57	*
41	Banting	2013-08-03	10	56	*
41	Banting	2013-08-03	11	55	*
41	Banting	2013-08-03	12	55	*
41	Banting	2013-08-03	13	55	*
41	Banting	2013-08-03	14	55	*
41	Banting	2013-08-03	15	55	*
41	Banting	2013-08-03	16	55	*
41	Banting	2013-08-03	17	55	*
41	Banting	2013-08-03	18	55	*
41	Banting	2013-08-03	19	55	*
41	Banting	2013-08-03	20	55	*
41	Banting	2013-08-03	21	54	*
41	Banting	2013-08-03	22	53	*
41	Banting	2013-08-03	23	52	*
41	Banting	2013-08-03	24	51	*
41	Banting	2013-08-04	1	51	*
41	Banting	2013-08-04	2	51	*
41	Banting	2013-08-04	3	51	*
41	Banting	2013-08-04	4	52	*
41	Banting	2013-08-04	5	53	*
41	Banting	2013-08-04	6	53	*
41	Banting	2013-08-04	7	53	*
41	Banting	2013-08-04	8	52	*
41	Banting	2013-08-04	9	52	*
41	Banting	2013-08-04	10	52	*
41	Banting	2013-08-04	11	52	*
41	Banting	2013-08-04	12	52	*
41	Banting	2013-08-04	13	52	*
41	Banting	2013-08-04	14	52	*
41	Banting	2013-08-04	15	52	*
41	Banting	2013-08-04	16	52	*
41	Banting	2013-08-04	17	52	*
41	Banting	2013-08-04	18	52	*
41	Banting	2013-08-04	19	53	*
41	Banting	2013-08-04	20	54	*
41	Banting	2013-08-04	21	54	*
41	Banting	2013-08-04	22	54	*
41	Banting	2013-08-04	23	55	*
41	Banting	2013-08-04	24	56	*
41	Banting	2013-08-05	1	56	*
41	Banting	2013-08-05	2	56	*
41	Banting	2013-08-05	3	56	*
41	Banting	2013-08-05	4	56	*
41	Banting	2013-08-05	5	55	*
41	Banting	2013-08-05	6	55	*
41	Banting	2013-08-05	7	55	*
41	Banting	2013-08-05	8	56	*
41	Banting	2013-08-05	9	56	*
41	Banting	2013-08-05	10	55	*
41	Banting	2013-08-05	11	55	*
41	Banting	2013-08-05	12	55	*
41	Banting	2013-08-05	13	56	*
41	Banting	2013-08-05	14	57	*
41	Banting	2013-08-05	15	58	*
41	Banting	2013-08-05	16	59	*
41	Banting	2013-08-05	17	60	*
41	Banting	2013-08-05	18	61	*
41	Banting	2013-08-05	19	60	*
41	Banting	2013-08-05	20	59	*
41	Banting	2013-08-05	21	58	*
41	Banting	2013-08-05	22	58	*
41	Banting	2013-08-05	23	56	*
41	Banting	2013-08-05	24	56	*
41	Banting	2013-08-06	1	55	*
41	Banting	2013-08-06	2	55	*
41	Banting	2013-08-06	3	55	*
41	Banting	2013-08-06	4	56	*
41	Banting	2013-08-06	5	57	*
41	Banting	2013-08-06	6	58	*
41	Banting	2013-08-06	7	60	*
41	Banting	2013-08-06	8	60	*
41	Banting	2013-08-06	9	61	*
41	Banting	2013-08-06	10	63	*
41	Banting	2013-08-06	11	65	*
41	Banting	2013-08-06	12	65	*
41	Banting	2013-08-06	13	65	*
41	Banting	2013-08-06	14	64	*
41	Banting	2013-08-06	15	63	*
41	Banting	2013-08-06	16	62	*
41	Banting	2013-08-06	17	61	*
41	Banting	2013-08-06	18	61	*
41	Banting	2013-08-06	19	61	*
41	Banting	2013-08-06	20	61	*
41	Banting	2013-08-06	21	62	*
41	Banting	2013-08-06	22	62	*
41	Banting	2013-08-06	23	62	*
41	Banting	2013-08-06	24	63	*
41	Banting	2013-08-07	1	63	*
41	Banting	2013-08-07	2	64	*
41	Banting	2013-08-07	3	64	*
41	Banting	2013-08-07	4	65	*
41	Banting	2013-08-07	5	64	*
41	Banting	2013-08-07	6	64	*
41	Banting	2013-08-07	7	63	*
41	Banting	2013-08-07	8	63	*
41	Banting	2013-08-07	9	62	*
41	Banting	2013-08-07	10	62	*
41	Banting	2013-08-07	11	61	*
41	Banting	2013-08-07	12	61	*
41	Banting	2013-08-07	13	61	*
41	Banting	2013-08-07	14	61	*
41	Banting	2013-08-07	15	61	*
41	Banting	2013-08-07	16	62	*
41	Banting	2013-08-07	17	62	*
41	Banting	2013-08-07	18	62	*
41	Banting	2013-08-07	19	63	*
41	Banting	2013-08-07	20	63	*
41	Banting	2013-08-07	21	62	*
41	Banting	2013-08-07	22	63	*
41	Banting	2013-08-07	23	64	*
41	Banting	2013-08-07	24	64	*
41	Banting	2013-08-08	1	64	*
41	Banting	2013-08-08	2	63	*
41	Banting	2013-08-08	3	62	*
41	Banting	2013-08-08	4	61	*
41	Banting	2013-08-08	5	60	*
41	Banting	2013-08-08	6	60	*
41	Banting	2013-08-08	7	59	*
41	Banting	2013-08-08	8	59	*
41	Banting	2013-08-08	9	58	*
41	Banting	2013-08-08	10	58	*
41	Banting	2013-08-08	11	57	*
41	Banting	2013-08-08	12	57	*
41	Banting	2013-08-08	13	57	*
41	Banting	2013-08-08	14	56	*
41	Banting	2013-08-08	15	56	*
41	Banting	2013-08-08	16	54	*
41	Banting	2013-08-08	17	53	*
41	Banting	2013-08-08	18	52	*
41	Banting	2013-08-08	19	52	*
41	Banting	2013-08-08	20	51	*
41	Banting	2013-08-08	21	51	*
41	Banting	2013-08-08	22	50	*
41	Banting	2013-08-08	23	48	*
41	Banting	2013-08-08	24	46	*
41	Banting	2013-08-09	1	44	*
41	Banting	2013-08-09	2	42	*
41	Banting	2013-08-09	3	41	*
41	Banting	2013-08-09	4	39	*
41	Banting	2013-08-09	5	38	*
41	Banting	2013-08-09	6	37	*
41	Banting	2013-08-09	7	36	*
41	Banting	2013-08-09	8	34	*
41	Banting	2013-08-09	9	33	*
41	Banting	2013-08-09	10	31	*
41	Banting	2013-08-09	11	29	*
41	Banting	2013-08-09	12	28	*
41	Banting	2013-08-09	13	35	c
41	Banting	2013-08-09	14	37	c
41	Banting	2013-08-09	15	39	c
41	Banting	2013-08-09	16	35	c
41	Banting	2013-08-09	17	35	c
41	Banting	2013-08-09	18	31	c
41	Banting	2013-08-09	19	28	c
41	Banting	2013-08-09	20	26	*
41	Banting	2013-08-09	21	26	*
41	Banting	2013-08-09	22	27	*
41	Banting	2013-08-09	23	29	*
41	Banting	2013-08-09	24	30	*
41	Banting	2013-08-10	1	31	*
41	Banting	2013-08-10	2	32	*
41	Banting	2013-08-10	3	32	*
41	Banting	2013-08-10	4	32	*
41	Banting	2013-08-10	5	32	*
41	Banting	2013-08-10	6	33	*
41	Banting	2013-08-10	7	32	*
41	Banting	2013-08-10	8	33	*
41	Banting	2013-08-10	9	33	*
41	Banting	2013-08-10	10	33	*
41	Banting	2013-08-10	11	33	*
41	Banting	2013-08-10	12	33	*
41	Banting	2013-08-10	13	38	c
41	Banting	2013-08-10	14	47	c
41	Banting	2013-08-10	15	58	c
41	Banting	2013-08-10	16	61	c
41	Banting	2013-08-10	17	63	c
41	Banting	2013-08-10	18	61	c
41	Banting	2013-08-10	19	60	c
41	Banting	2013-08-10	20	50	c
41	Banting	2013-08-10	21	43	*
41	Banting	2013-08-10	22	43	*
41	Banting	2013-08-10	23	43	*
41	Banting	2013-08-10	24	42	*
41	Banting	2013-08-11	1	42	*
41	Banting	2013-08-11	2	43	*
41	Banting	2013-08-11	3	45	*
41	Banting	2013-08-11	4	46	*
41	Banting	2013-08-11	5	0	0
41	Banting	2013-08-11	6	48	*
41	Banting	2013-08-11	7	49	*
41	Banting	2013-08-11	8	49	*
41	Banting	2013-08-11	9	49	*
41	Banting	2013-08-11	10	49	*
41	Banting	2013-08-11	11	49	*
41	Banting	2013-08-11	12	49	*
41	Banting	2013-08-11	13	49	*
41	Banting	2013-08-11	14	51	*
41	Banting	2013-08-11	15	50	*
41	Banting	2013-08-11	16	49	*
41	Banting	2013-08-11	17	48	*
41	Banting	2013-08-11	18	47	*
41	Banting	2013-08-11	19	47	*
41	Banting	2013-08-11	20	47	*
41	Banting	2013-08-11	21	47	*
41	Banting	2013-08-11	22	47	*
41	Banting	2013-08-11	23	46	*
41	Banting	2013-08-11	24	47	*
41	Banting	2013-08-12	1	47	*
41	Banting	2013-08-12	2	46	*
41	Banting	2013-08-12	3	45	*
41	Banting	2013-08-12	4	45	*
41	Banting	2013-08-12	5	45	*
41	Banting	2013-08-12	6	44	*
41	Banting	2013-08-12	7	45	*
41	Banting	2013-08-12	8	45	*
41	Banting	2013-08-12	9	45	*
41	Banting	2013-08-12	10	45	*
41	Banting	2013-08-12	11	45	*
41	Banting	2013-08-12	12	46	*
41	Banting	2013-08-12	13	46	*
41	Banting	2013-08-12	14	44	*
41	Banting	2013-08-12	15	45	*
41	Banting	2013-08-12	16	46	*
41	Banting	2013-08-12	17	47	*
41	Banting	2013-08-12	18	47	*
41	Banting	2013-08-12	19	47	*
41	Banting	2013-08-12	20	47	*
41	Banting	2013-08-12	21	46	*
41	Banting	2013-08-12	22	46	*
41	Banting	2013-08-12	23	46	*
41	Banting	2013-08-12	24	46	*
41	Banting	2013-08-13	1	46	*
41	Banting	2013-08-13	2	48	*
41	Banting	2013-08-13	3	50	*
41	Banting	2013-08-13	4	52	*
41	Banting	2013-08-13	5	54	*
41	Banting	2013-08-13	6	56	*
41	Banting	2013-08-13	7	56	*
41	Banting	2013-08-13	8	56	*
41	Banting	2013-08-13	9	55	*
41	Banting	2013-08-13	10	55	*
41	Banting	2013-08-13	11	55	*
41	Banting	2013-08-13	12	55	*
41	Banting	2013-08-13	13	55	*
41	Banting	2013-08-13	14	55	*
41	Banting	2013-08-13	15	54	*
41	Banting	2013-08-13	16	54	*
41	Banting	2013-08-13	17	54	*
41	Banting	2013-08-13	18	54	*
41	Banting	2013-08-13	19	54	*
41	Banting	2013-08-13	20	54	*
41	Banting	2013-08-13	21	54	*
41	Banting	2013-08-13	22	54	*
41	Banting	2013-08-13	23	54	*
41	Banting	2013-08-13	24	55	*
41	Banting	2013-08-14	1	55	*
41	Banting	2013-08-14	2	55	*
41	Banting	2013-08-14	3	53	*
41	Banting	2013-08-14	4	51	*
41	Banting	2013-08-14	5	49	*
41	Banting	2013-08-14	6	45	*
41	Banting	2013-08-14	7	47	*
41	Banting	2013-08-14	8	48	*
41	Banting	2013-08-14	9	49	*
41	Banting	2013-08-14	10	50	*
41	Banting	2013-08-14	11	51	*
41	Banting	2013-08-14	12	51	*
41	Banting	2013-08-14	13	51	*
41	Banting	2013-08-14	14	51	*
41	Banting	2013-08-14	15	51	*
41	Banting	2013-08-14	16	52	*
41	Banting	2013-08-14	17	52	*
41	Banting	2013-08-14	18	53	*
41	Banting	2013-08-14	19	54	*
41	Banting	2013-08-14	20	54	*
41	Banting	2013-08-14	21	56	*
41	Banting	2013-08-14	22	56	*
41	Banting	2013-08-14	23	56	*
41	Banting	2013-08-14	24	55	*
41	Banting	2013-08-15	1	54	*
41	Banting	2013-08-15	2	53	*
41	Banting	2013-08-15	3	52	*
41	Banting	2013-08-15	4	52	*
